15,1,2,2.0,75,1,1.938704252243042,Truck,0,2,8,6,7,4,0,Drones,0-10-2,2-3-8,2-12-8,4-9-0,4-13-0,6-5-7,6-11-7,7-1-4,7-14-4
15,1,3,1.0,30,1,0.2234938144683838,Truck,0,12,2,3,8,6,5,11,7,14,4,13,9,10,0,Drones,7-1-14
15,1,3,1.0,45,1,0.6979351043701172,Truck,0,2,3,8,6,5,11,7,14,4,9,10,0,Drones,7-1-14,9-12-10,9-13-10
15,1,3,1.0,60,1,1.3504760265350342,Truck,0,10,9,1,5,6,3,2,0,Drones,1-7-5,1-11-5,1-14-5,6-8-3,9-4-1,9-12-1,9-13-1
15,1,3,1.0,75,1,2.3309438228607178,Truck,0,4,7,6,8,2,0,Drones,0-9-4,0-10-4,4-11-7,4-13-7,4-14-7,7-1-6,7-5-6,8-3-2,8-12-2
15,1,3,1.25,30,1,0.2177870273590088,Truck,0,12,2,3,8,6,5,11,7,14,4,13,9,10,0,Drones,7-1-14
15,1,3,1.25,45,1,3.02069091796875,Truck,0,2,3,8,6,5,11,7,14,4,9,10,0,Drones,7-1-14,9-12-10,9-13-10
15,1,3,1.25,60,1,1.4352130889892578,Truck,0,10,9,1,5,6,3,2,0,Drones,1-7-5,1-11-5,1-14-5,6-8-3,9-4-1,9-12-1,9-13-1
15,1,3,1.25,75,1,2.2360482215881348,Truck,0,4,7,6,8,2,0,Drones,0-9-4,0-10-4,4-11-7,4-13-7,4-14-7,7-1-6,7-5-6,8-3-2,8-12-2
15,1,3,1.5,30,1,0.21405911445617676,Truck,0,12,2,3,8,6,5,11,7,14,4,13,9,10,0,Drones,7-1-14
15,1,3,1.5,45,1,0.4920468330383301,Truck,0,2,3,8,6,5,11,7,14,4,9,10,0,Drones,7-1-14,9-12-10,9-13-10
15,1,3,1.5,60,1,1.1788830757141113,Truck,0,10,9,1,5,6,3,2,0,Drones,1-7-5,1-11-5,1-14-5,6-8-3,9-4-1,9-12-1,9-13-1
15,1,3,1.5,75,1,2.188722848892212,Truck,0,4,7,6,8,2,0,Drones,0-9-4,0-10-4,4-11-7,4-13-7,4-14-7,7-1-6,7-5-6,8-3-2,8-12-2
15,1,3,1.75,30,1,0.21175193786621094,Truck,0,12,2,3,8,6,5,11,7,14,4,13,9,10,0,Drones,7-1-14
15,1,3,1.75,45,1,0.4940972328186035,Truck,0,2,3,8,6,5,11,7,14,4,9,10,0,Drones,7-1-14,9-12-10,9-13-10
15,1,3,1.75,60,1,1.222038984298706,Truck,0,10,9,1,5,6,3,2,0,Drones,1-7-5,1-11-5,1-14-5,6-8-3,9-4-1,9-12-1,9-13-1
15,1,3,1.75,75,1,2.217888116836548,Truck,0,4,7,6,8,2,0,Drones,0-9-4,0-10-4,4-11-7,4-13-7,4-14-7,7-1-6,7-5-6,8-3-2,8-12-2
15,1,3,2.0,30,1,0.21463775634765625,Truck,0,12,2,3,8,6,5,11,7,14,4,13,9,10,0,Drones,7-1-14
15,1,3,2.0,45,1,0.5083441734313965,Truck,0,2,3,8,6,5,11,7,14,4,9,10,0,Drones,7-1-14,9-12-10,9-13-10
15,1,3,2.0,60,1,1.2223918437957764,Truck,0,10,9,1,5,6,3,2,0,Drones,1-7-5,1-11-5,1-14-5,6-8-3,9-4-1,9-12-1,9-13-1
15,1,3,2.0,75,1,2.1893138885498047,Truck,0,4,7,6,8,2,0,Drones,0-9-4,0-10-4,4-11-7,4-13-7,4-14-7,7-1-6,7-5-6,8-3-2,8-12-2
