20,1,2,1.5,45,1,9.342707872390747,Truck,0,16,11,15,12,3,13,5,10,2,9,19,0,Drones,0-4-16,0-7-16,3-8-13,3-17-13,11-1-15,13-18-5,19-6-0,19-14-0
20,1,2,1.5,60,1,2.682971239089966,Truck,0,7,15,3,13,5,10,9,19,0,Drones,0-4-7,5-2-10,5-17-10,7-1-15,7-11-15,13-8-5,13-18-5,15-12-3,15-16-3,19-6-0,19-14-0
20,1,2,1.5,75,1,3.7763009071350098,Truck,0,19,6,16,8,5,14,0,Drones,0-2-19,0-7-19,5-10-14,5-13-14,6-1-16,6-15-16,8-17-5,8-18-5,14-4-0,16-3-8,16-12-8,19-9-6,19-11-6
20,1,2,1.75,30,1,1.9216530323028564,Truck,0,2,19,9,10,5,18,8,3,12,16,15,11,6,4,0,Drones,0-14-2,12-7-16,15-1-11,18-13-8,18-17-8
20,1,2,1.75,45,1,13.13907504081726,Truck,0,16,11,15,12,3,13,5,10,2,9,19,0,Drones,0-4-16,0-7-16,3-8-13,3-17-13,11-1-15,13-18-5,19-6-0,19-14-0
20,1,2,1.75,60,1,3.9943320751190186,Truck,0,7,15,3,13,5,10,9,19,0,Drones,0-4-7,5-2-10,5-17-10,7-1-15,7-11-15,13-8-5,13-18-5,15-12-3,15-16-3,19-6-0,19-14-0
20,1,2,1.75,75,1,2.9108810424804688,Truck,0,19,6,16,8,5,14,0,Drones,0-2-19,0-7-19,5-10-14,5-13-14,6-1-16,6-15-16,8-17-5,8-18-5,14-4-0,16-3-8,16-12-8,19-9-6,19-11-6
20,1,2,2.0,30,1,0.6539862155914307,Truck,0,2,19,9,10,5,18,8,3,12,16,15,11,6,4,0,Drones,0-14-2,12-7-16,15-1-11,18-13-8,18-17-8
20,1,2,2.0,45,1,4.902269124984741,Truck,0,16,11,15,12,3,13,5,10,2,9,19,0,Drones,0-4-16,0-7-16,3-8-13,3-17-13,11-1-15,13-18-5,19-6-0,19-14-0
20,1,2,2.0,60,1,2.6913797855377197,Truck,0,7,15,3,13,5,10,9,19,0,Drones,0-4-7,5-2-10,5-18-10,7-1-15,7-11-15,13-8-5,13-17-5,15-12-3,15-16-3,19-6-0,19-14-0
20,1,2,2.0,75,1,2.4134089946746826,Truck,0,19,6,16,8,5,14,0,Drones,0-2-19,0-7-19,5-10-14,5-13-14,6-1-16,6-15-16,8-17-5,8-18-5,14-4-0,16-3-8,16-12-8,19-9-6,19-11-6
20,1,3,1.0,30,1,0.7840797901153564,Truck,0,4,6,11,15,16,12,3,8,18,5,10,9,19,2,0,Drones,2-14-0,8-13-18,8-17-18,11-1-15,16-7-12
20,1,3,1.0,45,1,3.5363781452178955,Truck,0,16,11,15,12,3,13,5,10,2,9,19,0,Drones,0-7-16,11-1-15,13-8-5,13-17-5,13-18-5,19-4-0,19-6-0,19-14-0
20,1,3,1.0,60,1,2.6696760654449463,Truck,0,19,9,10,5,13,3,15,7,0,Drones,0-2-19,0-6-19,0-14-19,3-12-15,5-8-13,5-17-13,5-18-13,7-4-0,15-1-7,15-11-7,15-16-7
20,1,3,1.0,75,1,2.105111837387085,Truck,0,14,5,8,16,6,19,0,Drones,0-4-14,5-13-8,5-17-8,5-18-8,8-3-16,8-7-16,8-12-16,14-2-5,14-9-5,14-10-5,16-1-6,16-11-6,16-15-6
20,1,3,1.25,30,1,0.859492301940918,Truck,0,4,6,11,15,16,12,3,8,18,5,10,9,19,2,0,Drones,2-14-0,8-13-18,8-17-18,11-1-15,16-7-12
20,1,3,1.25,45,1,5.158045768737793,Truck,0,19,9,2,10,5,13,3,12,15,11,16,0,Drones,0-4-19,0-6-19,0-14-19,5-8-13,5-17-13,5-18-13,15-1-11,16-7-0
20,1,3,1.25,60,1,2.7416160106658936,Truck,0,19,9,10,5,13,3,15,7,0,Drones,0-2-19,0-6-19,0-14-19,3-12-15,5-8-13,5-17-13,5-18-13,7-4-0,15-1-7,15-11-7,15-16-7
20,1,3,1.25,75,1,2.1776840686798096,Truck,0,14,5,8,16,6,19,0,Drones,0-4-14,5-13-8,5-17-8,5-18-8,8-3-16,8-7-16,8-12-16,14-2-5,14-9-5,14-10-5,16-1-6,16-11-6,16-15-6
20,1,3,1.5,30,1,0.8874211311340332,Truck,0,4,6,11,15,16,12,3,8,18,5,10,9,19,2,0,Drones,2-14-0,8-13-18,8-17-18,11-1-15,16-7-12
20,1,3,1.5,45,1,5.288518190383911,Truck,0,19,9,2,10,5,13,3,12,15,11,16,0,Drones,0-4-19,0-6-19,0-14-19,5-8-13,5-17-13,5-18-13,15-1-11,16-7-0
20,1,3,1.5,60,1,2.756688117980957,Truck,0,19,9,10,5,13,3,15,7,0,Drones,0-2-19,0-6-19,0-14-19,3-12-15,5-8-13,5-17-13,5-18-13,7-4-0,15-1-7,15-11-7,15-16-7
20,1,3,1.5,75,1,2.271505117416382,Truck,0,14,5,8,16,6,19,0,Drones,0-4-14,5-13-8,5-17-8,5-18-8,8-3-16,8-7-16,8-12-16,14-2-5,14-9-5,14-10-5,16-1-6,16-11-6,16-15-6
20,1,3,1.75,30,1,0.9749760627746582,Truck,0,4,6,11,15,16,12,3,8,18,5,10,9,19,2,0,Drones,2-14-0,8-13-18,8-17-18,11-1-15,16-7-12
20,1,3,1.75,45,1,6.6604509353637695,Truck,0,19,9,2,10,5,13,3,12,15,11,16,0,Drones,0-4-19,0-6-19,0-14-19,5-8-13,5-17-13,5-18-13,15-1-11,16-7-0
20,1,3,1.75,60,1,3.564303159713745,Truck,0,19,9,10,5,13,3,15,7,0,Drones,0-2-19,0-6-19,0-14-19,3-12-15,5-8-13,5-17-13,5-18-13,7-4-0,15-1-7,15-11-7,15-16-7
20,1,3,1.75,75,1,2.6294050216674805,Truck,0,14,5,8,16,6,19,0,Drones,0-4-14,5-13-8,5-17-8,5-18-8,8-3-16,8-7-16,8-12-16,14-2-5,14-9-5,14-10-5,16-1-6,16-11-6,16-15-6
20,1,3,2.0,30,1,0.8012449741363525,Truck,0,4,6,11,15,16,12,3,8,18,5,10,9,19,2,0,Drones,2-14-0,8-13-18,8-17-18,11-1-15,16-7-12
20,1,3,2.0,45,1,5.403324127197266,Truck,0,19,9,2,10,5,13,3,12,15,11,16,0,Drones,0-4-19,0-6-19,0-14-19,5-8-13,5-17-13,5-18-13,15-1-11,16-7-0
20,1,3,2.0,60,1,2.652613878250122,Truck,0,19,9,10,5,13,3,15,7,0,Drones,0-2-19,0-6-19,0-14-19,3-12-15,5-8-13,5-17-13,5-18-13,7-4-0,15-1-7,15-11-7,15-16-7
20,1,3,2.0,75,1,1.9749209880828857,Truck,0,14,5,8,16,6,19,0,Drones,0-4-14,5-13-8,5-17-8,5-18-8,8-3-16,8-7-16,8-12-16,14-2-5,14-9-5,14-10-5,16-1-6,16-11-6,16-15-6
