25,1,0,1,0,1,0.6804380416870117,Truck,0,1,10,19,12,7,24,5,20,2,13,15,17,18,21,6,16,3,14,23,8,11,22,9,4,0,Drones
25,1,1,1.0,30,1,1.0355219841003418,Truck,0,1,10,12,7,24,5,20,2,15,18,21,6,3,14,8,11,22,9,0,Drones,2-13-15,6-16-3,9-4-0,10-19-12,14-23-8,15-17-18
25,1,1,1.0,45,1,19.65614104270935,Truck,0,10,19,24,5,20,17,18,21,3,14,8,11,22,9,0,Drones,0-1-10,5-2-20,9-4-0,10-12-19,14-23-8,17-15-18,18-6-21,19-7-24,20-13-17,21-16-3
25,1,1,1.0,60,1,34.91521191596985,Truck,0,4,10,12,19,22,11,8,23,16,18,17,2,0,Drones,0-6-4,2-20-0,4-1-10,8-14-23,10-5-12,11-9-8,12-24-19,16-21-18,17-13-2,18-15-17,19-7-22,23-3-16
25,1,1,1.0,75,1,628.638904094696,Truck,0,4,11,8,23,14,3,16,18,1,19,12,10,0,Drones,0-2-4,1-5-19,3-21-16,4-22-11,10-20-0,11-9-8,12-24-10,14-17-3,16-15-18,18-13-1,19-7-12,23-6-14
25,1,1,1.25,30,1,2.3068501949310303,Truck,0,1,10,12,7,24,5,20,2,15,18,21,6,3,14,8,11,22,9,0,Drones,2-13-15,6-16-3,9-4-0,10-19-12,14-23-8,15-17-18
25,1,1,1.25,45,1,30.003477096557617,Truck,0,10,19,24,5,20,17,18,21,3,14,8,11,22,9,0,Drones,0-1-10,5-2-20,9-4-0,10-12-19,14-23-8,17-15-18,18-6-21,19-7-24,20-13-17,21-16-3
25,1,1,1.25,60,1,57.50590181350708,Truck,0,4,10,12,19,22,11,8,23,16,18,17,2,0,Drones,0-6-4,2-20-0,4-1-10,8-14-23,10-5-12,11-9-8,12-24-19,16-21-18,17-13-2,18-15-17,19-7-22,23-3-16
25,1,1,1.25,75,1,790.0495698451996,Truck,0,4,11,8,23,14,3,16,18,1,19,12,10,0,Drones,0-2-4,1-5-19,3-21-16,4-22-11,10-20-0,11-9-8,12-24-10,14-17-3,16-15-18,18-13-1,19-7-12,23-6-14
25,1,1,1.5,30,1,29.57480502128601,Truck,0,1,10,12,7,24,5,20,2,15,18,21,6,3,14,8,11,22,9,0,Drones,2-13-15,6-16-3,9-4-0,10-19-12,14-23-8,15-17-18
25,1,1,1.5,45,1,35.58054518699646,Truck,0,10,19,24,5,20,17,18,21,3,14,8,11,22,9,0,Drones,0-1-10,5-2-20,9-4-0,10-12-19,14-23-8,17-15-18,18-6-21,19-7-24,20-13-17,21-16-3
25,1,1,1.5,60,1,60.72582125663757,Truck,0,4,10,12,19,22,11,8,23,16,18,17,2,0,Drones,0-6-4,2-20-0,4-1-10,8-14-23,10-5-12,11-9-8,12-24-19,16-21-18,17-13-2,18-15-17,19-7-22,23-3-16
25,1,1,1.5,75,1,944.0952260494232,Truck,0,4,11,8,23,14,3,16,18,1,19,12,10,0,Drones,0-2-4,1-5-19,3-21-16,4-22-11,10-20-0,11-9-8,12-24-10,14-17-3,16-15-18,18-13-1,19-7-12,23-6-14
25,1,1,1.75,30,1,2.062610149383545,Truck,0,1,10,12,7,24,5,20,2,15,18,21,6,3,14,8,11,22,9,0,Drones,2-13-15,6-16-3,9-4-0,10-19-12,14-23-8,15-17-18
